사업장명,소재지전체주소,도로명전체주소,도로명우편번호,자연환경,숙소환경,테마,지역코드,좌표정보(x),좌표정보(y),COL1,COL2,COL3
늘예솔 글램핑,경상남도 거창군 북상면 월성리 941-4번지,경상남도 거창군 북상면 덕유월성로 1384-5,50100,강,글램핑,연인,17,266560.8174,251824.9783,,,
아쿠아마린 글램핑,경기도 포천시 이동면 도평리 333번지,경기도 포천시 이동면 성장로1289번길 204,11110,바다,이지캠핑,키즈,3,232951.7598,505037.0455,,,
부에노스아이레스,경기도 가평군 가평읍 복장리 580-3번지,경기도 가평군 가평읍 상지로 949,12430,호수,카라반,반려동물,3,243993.7805,470994.2511,,,
오페라캠핑장,강원도 홍천군 내촌면 화상대리 산 375-2,강원도 홍천군 내촌면 아홉사리로 104-15,25163,강,글램핑,연인,4,288301.2,478177.0659,,,
사계절 야영장,충청북도 영동군 상촌면 대해리 1083-1,충청북도 영동군 상촌면 물한계곡로 700,29126,바다,이지캠핑,키즈,8,279605.3867,289353.3756,,,
해자연캠핑장,경기도 남양주시 오남읍 팔현리 9-22,경기도 남양주시 오남읍 팔현로175번길 310-60,12038,호수,카라반,반려동물,3,223207.976,466625.5509,,,
글램핑스테이션,충청북도 괴산군 연풍면 갈금리 255-19번지,충청북도 괴산군 연풍면 연풍로 823-9,28014,강,글램핑,연인,8,284846.0725,364899.3762,,,
청포대휴야영장,충청남도 태안군 남면 원청리 512-142,충청남도 태안군 남면 청포대길 63-6,32157,바다,이지캠핑,키즈,7,137490.9173,348948.1219,,,
옥산 호수정원(진달래 관광농원),충청남도 부여군 옥산면 봉산리 171-3,충청남도 부여군 옥산면 봉산로56번길 56,33204,호수,카라반,반려동물,7,175101.2458,299744.5779,,,
휴림,경기도 여주시 산북면 주어리 368-1,경기도 여주시 산북면 주어로 204,12600,산,캠핑,가족,3,237757.029,434952.2865,,,
그라티아 글램핑,경기도 가평군 가평읍 두밀리 216,경기도 가평군 가평읍 태봉두밀로 421-24,12425,강,글램핑,연인,3,239969.8414,479289.572,,,
백운산캠핑장,경상남도 함양군 백전면 백운리 120-2번지,경상남도 함양군 백전면 함양남서로 2755,50026,바다,이지캠핑,키즈,17,257664.6452,232239.8576,,,
도봉야영장,경기도 의정부시 호원동 163,경기도 의정부시 창포원로 81 (호원동),11716,호수,카라반,반려동물,3,204061.3171,465859.3276,,,
에제르파크,인천광역시 남동구 장수동 141-7,인천광역시 남동구 만의골로 155 (장수동),21533,강,글램핑,연인,2,179777.566,439441.1174,,,
와우파크,강원도 강릉시 사천면 사천진리 242-1번지,강원도 강릉시 사천면 공회당길 7-13,25435,호수,카라반,반려동물,4,364764.0382,483679.9006,,,
팜스토리,경상북도 청도군 운문면 봉하리 817번지 (817-1번지),경상북도 청도군 운문면 운북로 443-18,38365,강,글램핑,연인,16,378588.9503,257694.1966,,,
라무 키즈 글램핑,경기도 가평군 북면 도대리 324-10,경기도 가평군 북면 가화로 2372-42,12401,호수,카라반,반려동물,3,241935.7448,494733.9639,,,
솔향기캠핑장,충청남도 태안군 소원면 모항리 442-3,충청남도 태안군 소원면 모항항길 29,32123,강,글램핑,연인,7,123435.2954,364360.9723,,,
충주 커피박물관 관광농원 야영장,충청북도 충주시 살미면 내사리 산 20-2,충청북도 충주시 살미면 월악로 432,27492,바다,이지캠핑,키즈,8,290360.9874,378552.8512,,,
전원일기 오토캠핑장,경상북도 경주시 산내면 대현리 2372,경상북도 경주시 산내면 문복로 578,38187,호수,카라반,반려동물,16,385538.6307,244640.0249,,,
전월산 국민여가캠핑장,세종특별자치시 연기면 세종리 551-25,세종특별자치시 연기면 갈매로 169,30129,산,캠핑,가족,6,224072.8247,331042.5068,,,
트리앤캠프스토리,강원도 양구군 양구읍 군량리 450,강원도 양구군 양구읍 성곡로 849,24514,강,글램핑,연인,4,284383.351,517913.4834,,,
청포대 일등캠핑장,충청남도 태안군 남면 양잠리 1230-3,충청남도 태안군 남면 청포대길 125,32155,바다,이지캠핑,키즈,7,137369.2682,349457.4051,,,
한자루체험농원(휴앤아크),강원도 인제군 기린면 방동리 68-3,강원도 인제군 기린면 방동약수로 68,24656,호수,카라반,반려동물,4,321917.0802,494708.4854,,,
산들내캠핑장,전라북도 정읍시 산외면 정량리 85-1 인문학뇌만들기 문화공간 창,"전라북도 정읍시 산외면 종운로 260, 인문학뇌만들기 문화공간 창",56123,산,캠핑,가족,9,205536.241,234158.0571,,,
솔라캠프,경상북도 안동시 와룡면 가구리 377-1,경상북도 안동시 와룡면 농암로 101-44,36611,바다,이지캠핑,키즈,16,359016.2775,347988.6808,,,
산책,경기도 가평군 북면 화악리 754-6번지,경기도 가평군 북면 화악산로 943-40,12402,호수,카라반,반려동물,3,247473.2718,492800.7052,,,
젤루느린 달팽이,경상북도 문경시 가은읍 완장리 460번지,경상북도 문경시 가은읍 대야로 1290,36993,산,캠핑,가족,16,285716.39,353234.436,,,
아이뜰관광농원,충청북도 괴산군 장연면 방곡리 607-4번지 아이뜰관광농원,"충청북도 괴산군 장연면 충민로 1183, 아이뜰관광농원",28008,강,글램핑,연인,8,280406.4517,371899.7125,,,
청도 어울림 글램핑 타운,경상북도 청도군 매전면 관하리 420,경상북도 청도군 매전면 관하실길 28-42,38352,바다,이지캠핑,키즈,16,364459.6973,246979.0882,,,
학암포나로글램핑캠핑장,충청남도 태안군 원북면 방갈리 515-173,충청남도 태안군 원북면 옥파로 1153,32105,호수,카라반,반려동물,7,129049.1165,377685.4989,,,
내리계곡 솔바람 캠핑장,강원도 영월군 김삿갓면 내리 386-2번지,강원도 영월군 김삿갓면 내리계곡로 1039-14,26247,산,캠핑,가족,4,349435.6283,401412.693,,,
별곰 캠핑힐,경상남도 하동군 청암면 상이리 1446,경상남도 하동군 청암면 사동길 2,52310,강,글램핑,연인,17,268677.3689,187136.0649,,,
김제 모악산 캠핑파크(일반),전라북도 김제시 금산면 금산리 79-9,전라북도 김제시 금산면 모악로 476-31,54343,바다,이지캠핑,키즈,9,203904.843,246228.2241,,,
해오름 글램핑,경기도 포천시 소흘읍 이곡리 479-8,경기도 포천시 소흘읍 광릉수목원로874번길 5,11187,호수,카라반,반려동물,3,212818.3268,475034.7537,,,
노을캠핑장,인천광역시 강화군 양도면 건평리 463-11번지,인천광역시 강화군 양도면 해안서로 695,23056,바다,이지캠핑,키즈,2,146061.1133,465406.5633,,,
어망골 캠핑장,충청남도 보령시 천북면 장은리 970,충청남도 보령시 천북면 사호장은로 638,33400,호수,카라반,반려동물,7,154271.8116,333960.4941,,,
범화권역 글램핑장,충청북도 영동군 학산면 도덕리 806-3,충청북도 영동군 학산면 용화양강로 1380,29167,산,캠핑,가족,8,265126.9233,287359.7061,,,
오시유,충청남도 천안시 동남구 광덕면 광덕리 720-12번지,충청남도 천안시 동남구 광덕면 해수길 178-38,31220,강,글램핑,연인,7,202513.0365,352663.8156,,,
블루파크,경기도 포천시 화현면 명덕리 179-1,경기도 포천시 화현면 봉화로 267,11125,호수,카라반,반려동물,3,224402.733,485580.9244,,,
푸른섬 캠핑장,경기도 안산시 단원구 대부북동 1865-63,경기도 안산시 단원구 연목이길 31-21 (대부북동),15640,산,캠핑,가족,3,160809.6816,418725.7858,,,
(주)하늘마음바이오 홍천지점 알파카스테이,강원도 홍천군 화촌면 풍천리 107-2번지,강원도 홍천군 화촌면 가락재로 206,25156,강,글램핑,연인,4,278128.5692,481561.5275,,,
용추솔밭관광농원,경상남도 함양군 안의면 상원리 757-19 관광농원,"경상남도 함양군 안의면 용추계곡로 494-6, 관광농원",50005,바다,이지캠핑,키즈,17,270128.8931,242088.1543,,,
달콤이네 캠핑장,강원도 원주시 문막읍 취병리 358번지,강원도 원주시 문막읍 취병로 106,26360,호수,카라반,반려동물,4,270902.4046,423544.7064,,,
대부관광농원 오캠핑,경기도 안산시 단원구 대부남동 647-1,경기도 안산시 단원구 대남로 642 (대부남동),15653,산,캠핑,가족,3,159643.6994,411768.8772,,,
하와이언캠프,인천광역시 옹진군 영흥면 내리 1327번지,인천광역시 옹진군 영흥면 영흥서로446번길 46,23117,강,글램핑,연인,2,151811.0264,420188.2887,,,
새연 글램핑 카라반 설악2호점,경기도 가평군 설악면 회곡리 24-2,경기도 가평군 설악면 유명로 1939-26,12459,호수,카라반,반려동물,3,241414.2967,464638.5337,,,
두레캠핑장,경기도 가평군 청평면 상천리 1494번지 두레마을휴양림,"경기도 가평군 청평면 상지로 171, 두레마을휴양림",12449,산,캠핑,가족,3,241368.8947,474105.8404,,,
마로니에숲 캠핑장,충청북도 옥천군 이원면 장찬리 145-9,충청북도 옥천군 이원면 장찬길 159-73,29061,강,글램핑,연인,8,253360.951,305033.8399,,,
갈릴리 야영장,경기도 평택시 안중읍 학현리 129-10번지,경기도 평택시 안중읍 안중북로 119,17816,바다,이지캠핑,키즈,3,192866.52,388765.4892,,,
황산도캠핑장,인천광역시 강화군 길상면 초지리 1328-2번지 대나무집,"인천광역시 강화군 길상면 해안남로65번길 36-15, 대나무집",23052,호수,카라반,반려동물,2,159224.2544,457883.9737,,,
대가야캠프타운,경상북도 고령군 운수면 신간리 465,경상북도 고령군 운수면 물한1길 78-8,40123,산,캠핑,가족,16,318891.0134,255862.6854,,,
숲속의 작은집,"강원도 영월군 무릉도원면 두산리 산 175, 산 175-1번지",강원도 영월군 무릉도원면 새막골길 133,26200,강,글램핑,연인,4,303362.1787,424888.8847,,,
월드니스 오토캠핑장,강원도 영월군 무릉도원면 도원리 795-1,강원도 영월군 무릉도원면 도원운학로 475-10,26201,바다,이지캠핑,키즈,4,308227.2319,422758.9607,,,
외룡송어회 캠핑장,강원도 영월군 김삿갓면 외룡리 651-1번지,강원도 영월군 김삿갓면 직실길 7,26247,호수,카라반,반려동물,4,345891.8819,402922.0933,,,
넵투누스 카라반,경기도 가평군 청평면 고성리 25-1,경기도 가평군 청평면 고재길 262-123,12456,산,캠핑,가족,3,245559.0824,466533.4499,,,
시공간,전라남도 여수시 남면 유송리 702번지,전라남도 여수시 남면 솔고지길 105,59785,강,글램핑,연인,11,266559.6051,116834.0329,,,
풀앤밸리야영장,강원도 양양군 현북면 원일전리 34-1번지,강원도 양양군 현북면 남대천로 1352,25049,바다,이지캠핑,키즈,4,345092.581,500264.8617,,,
프렌즈캠핑장,충청북도 제천시 청풍면 도곡리 92번지,충청북도 제천시 청풍면 청풍명월로 869-9,27214,호수,카라반,반려동물,8,300761.0839,389799.483,,,
파라다이스캠프,강원도 영월군 무릉도원면 법흥리 137번지,강원도 영월군 무릉도원면 무릉법흥로 1128-10,26201,산,캠핑,가족,4,313223.7016,429085.8172,,,
병목안캠핑장,경기도 안양시 만안구 안양동 산 81-6번지,"경기도 안양시 만안구 병목안로247번길 35 (안양동, 병목안문화공원 내)",430010,강,글램핑,연인,3,191983.1,431130.0613,,,
뉴욕카라반,강원도 속초시 대포동 478-7번지,강원도 속초시 동해대로 3847-7 (대포동),24900,바다,이지캠핑,키즈,4,340273.3982,520695.3373,,,
용소캠핑장,경기도 가평군 북면 도대리 335-3번지,경기도 가평군 북면 가화로 2411-32,12401,호수,카라반,반려동물,3,241520.5,494767.877,,,
용담댐 오토캠핑장,전라북도 진안군 안천면 삼락리 1058-2번지,전라북도 진안군 안천면 안용로 539,55406,산,캠핑,가족,9,247726.4895,270843.4292,,,
우리두리 캠핑장,강원도 영월군 무릉도원면 법흥리 522,강원도 영월군 무릉도원면 백년계곡길 11,26201,강,글램핑,연인,4,312622.312,430089.7015,,,
정화네불한증막 힐링캠프,전라북도 정읍시 고부면 신중리 305-18,전라북도 정읍시 고부면 덕신강길 148-4,56152,바다,이지캠핑,키즈,9,178323.3215,233540.9369,,,
유수암 캠핑장,제주특별자치도 제주시 애월읍 유수암리 2994,제주특별자치도 제주시 애월읍 하소로 684-25,63067,호수,카라반,반려동물,18,143552.3687,-8064.57309,,,
코코캠핑,충청북도 충주시 대소원면 탄용리 632-5,충청북도 충주시 대소원면 외동길 192,27473,산,캠핑,가족,8,274924.0928,380127.6257,,,
히어리 캠핑장,강원도 영월군 김삿갓면 와석리 744번지,강원도 영월군 김삿갓면 김삿갓로 587-6,26246,호수,카라반,반려동물,4,342420.9155,401548.4623,,,
삿갓펜션 캠핑장,강원도 영월군 김삿갓면 와석리 878번지,강원도 영월군 김삿갓면 김삿갓로 362,26246,산,캠핑,가족,4,342501.8471,400005.6562,,,
동해글램핑장,강원도 동해시 추암동 32,강원도 동해시 쉬눔길 80-1 (추암동),25790,바다,이지캠핑,키즈,4,390456.0021,443339.818,,,
금관숲캠핑장,충청북도 청주시 상당구 미원면 금관리 336-4번지,충청북도 청주시 상당구 미원면 운암계원로 628,28201,호수,카라반,반려동물,8,264827.989,346812.0621,,,
칠성캠핑장,충청북도 괴산군 칠성면 사평리 10-1번지 야영장,충청북도 괴산군 칠성면 중부로 5611-21,28019,강,글램핑,연인,8,278319.7052,365148.5735,,,
북극곰,강원도 평창군 봉평면 흥정리 312-2번지,강원도 평창군 봉평면 흥정계곡길 313-3,25300,바다,이지캠핑,키즈,4,318056.0831,460326.4102,,,
자연과함께,강원도 영월군 무릉도원면 법흥리 61-7번지,강원도 영월군 무릉도원면 무릉법흥로 968-31,26201,호수,카라반,반려동물,4,313378.8097,427745.0238,,,
하늘정원 캠핑장,인천광역시 강화군 길상면 동검리 17-14번지,인천광역시 강화군 길상면 동검길 21-1,23053,산,캠핑,가족,2,157226.6962,455097.0339,,,
맑은물소리캠핑장,경기도 가평군 설악면 천안리 727-6번지,경기도 가평군 설악면 가마소길 17-270,12469,바다,이지캠핑,키즈,3,241668.9376,459269.0193,,,
화원684글램핑,전라남도 해남군 화원면 매월리 684-7,전라남도 해남군 화원면 매봉길 528-8,59000,산,캠핑,가족,11,135078.2768,140344.2709,,,
캠프 B.T.S,강원도 삼척시 근덕면 덕산리 119-1 캠프장관리소,"강원도 삼척시 근덕면 덕산해변길 82, 캠프장관리소",25934,강,글램핑,연인,4,398290.4394,433879.0704,,,
이천농업테마공원 국민여가캠핑장,경기도 이천시 모가면 어농리 871-3,경기도 이천시 모가면 공원로 48,17406,바다,이지캠핑,키즈,3,239413.7328,408511.5839,,,
칠포그린로즈야영장,경상북도 포항시 북구 흥해읍 금장리 30-1,경상북도 포항시 북구 흥해읍 암각화길 31,37530,호수,카라반,반려동물,16,414623.4736,295379.0174,,,
아지트글램핑농원,경기도 포천시 화현면 화현리 533-3번지,경기도 포천시 화현면 화동로477번길 1,11123,산,캠핑,가족,3,226959.6821,489619.3662,,,
케이엘리조트,경기도 가평군 설악면 회곡리 305-4,경기도 가평군 설악면 유명로 2204,12459,강,글램핑,연인,3,240048.5509,466644.7066,,,
그림책동화마을 품 캠핑장,"경기도 동두천시 탑동동 666 외 4필지(665-3, 666-2, 667-1, 668-5)",경기도 동두천시 삼육사로 1366 (탑동동),11360,산,캠핑,가족,3,208631.6428,487443.0327,,,
철이네캠핑장,경기도 가평군 설악면 가일리 223번지,경기도 가평군 설악면 유명산길 79-18,12473,강,글램핑,연인,3,243263.5243,454770.0112,,,
소나무 풍경 펜션 야영장,경상남도 창녕군 계성면 사리 325,경상남도 창녕군 계성면 계성화왕산로 161,50338,호수,카라반,반려동물,17,338444.0134,222249.7625,,,
강화바다관광농원,인천광역시 강화군 화도면 장화리 1122번지 강화바다관광농원,"인천광역시 강화군 화도면 해안남로 2355, 강화바다관광농원",23061,산,캠핑,가족,2,145395.5786,456971.0231,,,
토일관광농원,경기도 포천시 군내면 직두리 160-4번지,경기도 포천시 군내면 청군로 2857,11155,강,글램핑,연인,3,221823.0066,485016.9686,,,
다놀자캠핑장,경상북도 상주시 화서면 하송리 372,경상북도 상주시 화서면 문장로 425-5,37138,바다,이지캠핑,키즈,16,286352.0777,330455.4059,,,
블루문캠핑장,경기도 가평군 상면 행현리 621-8,경기도 가평군 상면 수목원로386번길 43,12448,산,캠핑,가족,3,230791.0039,471645.2067,,,
하솜캠프,경기도 포천시 일동면 화대리 94-2번지,경기도 포천시 일동면 무리울길 40,11118,바다,이지캠핑,키즈,3,229463.5486,495006.6502,,,
에버그린 캠핑장,충청남도 논산시 벌곡면 덕곡리 172-4번지,충청남도 논산시 벌곡면 수락로237번길 26-96,33028,호수,카라반,반려동물,7,226352.0345,296838.0627,,,
방길낚시캠핑장,전라북도 임실군 신덕면 삼길리 166-6번지,전라북도 임실군 신덕면 삼길1길 155-77,55903,산,캠핑,가족,9,211880.2045,242482.1789,,,
웰컴투캠프,강원도 영월군 무릉도원면 법흥리 535-3번지,강원도 영월군 무릉도원면 무릉법흥로 1128-20,26201,강,글램핑,연인,4,313146.3384,429236.3756,,,
별천지야영장,경기도 가평군 북면 화악리 741-7번지,경기도 가평군 북면 화악산로 816,12402,바다,이지캠핑,키즈,3,248026.4101,492383.3256,,,
선인장,전라남도 담양군 월산면 중월리 442번지,전라남도 담양군 월산면 담장로 548,57314,호수,카라반,반려동물,11,192860.9105,205504.4085,,,
힐링캠프,울산광역시 울주군 상북면 덕현리 155-1,울산광역시 울주군 상북면 소야정길 10,44901,산,캠핑,가족,14,385997.7759,237117.7495,,,
들소리 키즈 글램핑,전라남도 영암군 신북면 학동리 468번지 신북서초등학교,"전라남도 영암군 신북면 들소리로 384-14, 신북서초등학교",58400,강,글램핑,연인,11,170595.9856,158925.4607,,,
불스글램핑 함평점,전라남도 함평군 함평읍 장년리 726,전라남도 함평군 함평읍 장년길 40,57136,바다,이지캠핑,키즈,11,152188.634,177317.776,,,
서해캠핑장,인천광역시 중구 을왕동 810-308,인천광역시 중구 용유서로423번길 41 (을왕동),22383,호수,카라반,반려동물,2,144001.6734,439679.8155,,,
노꼬담꼬,경상북도 경주시 산내면 감산리 668-4,경상북도 경주시 산내면 감존길 390-65,38185,산,캠핑,가족,16,385519.209,260039.7498,,,
호명산잣나무숲속캠핑장,경기도 가평군 청평면 상천리 산 392-1번지 상천지구농촌테마공원,"경기도 가평군 청평면 상지로64번길 77, 상천지구농촌테마공원",12449,강,글램핑,연인,3,241091.551,473152.0476,,,
핀란드캠핑성,경기도 가평군 상면 봉수리 14,경기도 가평군 상면 물골길 102,12440,바다,이지캠핑,키즈,3,227771.8063,481584.3404,,,
잣향기푸른숲,경기도 가평군 상면 행현리 800,경기도 가평군 상면 축령로 183-53,12448,호수,카라반,반려동물,3,231296.1351,474687.9628,,,
솔향기 캠핑장,강원도 영월군 무릉도원면 법흥리 612-5,강원도 영월군 무릉도원면 무릉법흥로 787,26201,강,글램핑,연인,4,312904.043,426330.862,,,
펫힐링 달빛동물원 캠핑장,강원도 영월군 남면 연당리 647번지,강원도 영월군 남면 나뱅이길 61,26217,바다,이지캠핑,키즈,4,324557.4581,408741.2883,,,
문앤스타 캠핑장,경기도 양평군 용문면 중원리 399-2,경기도 양평군 용문면 중원산로 478,12512,호수,카라반,반려동물,3,254490.742,449124.5333,,,
KEROAIN CAMP,강원도 영월군 무릉도원면 운학리 930-3번지,강원도 영월군 무릉도원면 학산길 26-9,26200,산,캠핑,가족,4,305252.0834,424797.2914,,,
소양호 뱃길나루터,강원도 양구군 양구읍 석현리 137-2,강원도 양구군 양구읍 소양호로 2522,24517,강,글램핑,연인,4,284946.2416,504733.1443,,,
십리포해수욕장 야영장,인천광역시 옹진군 영흥면 내리 724-195,인천광역시 옹진군 영흥면 영흥북로 388-1,23118,바다,이지캠핑,키즈,2,154373.3517,420120.2144,,,
소회산리멍우리협곡관광농원(캠핑장),경기도 포천시 영북면 소회산리 372번지,경기도 포천시 영북면 소회산길 399,11108,호수,카라반,반려동물,3,220451.5105,509978.2453,,,
오지봉커뮤니센터 야영장,전라남도 곡성군 오산면 봉동리 945-152번지,전라남도 곡성군 오산면 오산로 663-17,57518,산,캠핑,가족,11,210471.8239,193515.247,,,
연지관광농원(연지곤지팜캠핑장),경기도 포천시 소흘읍 직동리 77-3,경기도 포천시 소흘읍 직동길 48,11186,강,글램핑,연인,3,214876.5967,473878.8022,,,
디데이펜션&캠핑,강원도 홍천군 서면 굴업리 271-11,강원도 홍천군 서면 안굴업길 39-13,25103,바다,이지캠핑,키즈,4,259576.4628,457436.1422,,,
국립방태산자연휴양림,강원도 인제군 기린면 방동리 산 282-1번지 방태산자연휴양림,"강원도 인제군 기린면 방태산길 241, 방태산자연휴양림",24656,호수,카라반,반려동물,4,324140.0903,490935.6967,,,
나드리야영장,강원도 인제군 북면 용대리 1036-4번지,강원도 인제군 북면 만해로 249,24606,산,캠핑,가족,4,316357.8815,521935.6387,,,
폭포가 있는 캠핑장,강원도 인제군 북면 용대리 366-2번지,강원도 인제군 북면 미시령로 1312,24605,강,글램핑,연인,4,318647.6109,523711.0517,,,
방태산솔마루오토캠핑장,강원도 인제군 기린면 방동리 260번지,강원도 인제군 기린면 방태산길 122-6,24656,바다,이지캠핑,키즈,4,321380.9703,493838.5178,,,
보광농촌체험휴양마을,강원도 강릉시 성산면 보광리 308번지,강원도 강릉시 성산면 보현길 5,25442,호수,카라반,반려동물,4,359263.5992,472058.4088,,,
여수자매로캠핑장,전라남도 여수시 화양면 이목리 39,전라남도 여수시 화양면 자매로 170,59653,강,글램핑,연인,11,252932.5443,129681.1016,,,
강릉여행 GOOD캠핑,강원도 강릉시 사천면 방동리 112-5번지,강원도 강릉시 사천면 해안로 904-8,25440,바다,이지캠핑,키즈,4,365115.223,482653.2915,,,
포레스트 캠핑장,경기도 포천시 화현면 명덕리 179-3번지,경기도 포천시 화현면 봉화로 269,11125,호수,카라반,반려동물,3,224427.2758,485685.3369,,,
원's 캠핑장,인천광역시 강화군 삼산면 매음리 544-1,인천광역시 강화군 삼산면 삼산남로604번길 37,23007,산,캠핑,가족,2,141578.6647,464038.8222,,,
집다리캠핑장,강원도 춘천시 사북면 지암리 127-4,강원도 춘천시 사북면 화악지암길 594,24200,강,글램핑,연인,4,254650.8488,497532.4785,,,
더스트림카라반 야영장,경상북도 영덕군 강구면 하저리 6-4번지,경상북도 영덕군 강구면 영덕대게로 579,36453,바다,이지캠핑,키즈,16,416567.9463,324109.5468,,,
에스글램핑,충청남도 천안시 동남구 풍세면 풍서리 263,충청남도 천안시 동남구 풍세면 호정1길 28-17,31216,호수,카라반,반려동물,7,211485.3367,357316.9295,,,
고사포야영장,전라북도 부안군 변산면 운산리 441-11,전라북도 부안군 변산면 변산해변로 765,56339,산,캠핑,가족,9,155507.8661,240379.0427,,,
타요캠핑장,강원도 삼척시 오분동 1-40,강원도 삼척시 삼척로 4246-29 (오분동),25930,강,글램핑,연인,4,394269,437688,,,
잔야캠핑,충청북도 괴산군 청천면 지촌리 84-4,충청북도 괴산군 청천면 도경로 638,28059,바다,이지캠핑,키즈,8,271385.5038,357923.4207,,,
영암 프리미엄 키즈글램핑,전라남도 영암군 시종면 신학리 709번지 시종신학초등학교,"전라남도 영암군 시종면 신학1로 47, 시종신학초등학교",58428,호수,카라반,반려동물,11,162439.6502,148064.6509,,,
따봄,경기도 하남시 교산동 61,경기도 하남시 서하남로576번길 119 (교산동),13018,강,글램핑,연인,3,218241.4207,446246.7599,,,
어썸캠핑장,인천광역시 강화군 화도면 내리 2530-6,인천광역시 강화군 화도면 마니산로 808-11,23060,바다,이지캠핑,키즈,2,147723.8209,459313.5915,,,
오솔길 오토 캠핑장,경상북도 경주시 산내면 내일리 756-2,경상북도 경주시 산내면 상목길 108-3,38185,호수,카라반,반려동물,16,387653.608,251105.5191,,,
홍스랜드,제주특별자치도 제주시 애월읍 어음리 1412-1,제주특별자치도 제주시 애월읍 어음13길 25-45,63038,산,캠핑,가족,18,139213.7088,-10215.72756,,,
포유카라반파크,경상북도 포항시 남구 구룡포읍 구평리 504,경상북도 포항시 남구 구룡포읍 동해안로4176번길 12,37940,강,글램핑,연인,16,428343.9216,274154.8084,,,
경산 갓바위캠핑장,경상북도 경산시 와촌면 대한리 553-3,"경상북도 경산시 와촌면 갓바위로 596, 경산 갓바위캠핑장",38400,바다,이지캠핑,키즈,16,357642.3053,277572.3827,,,
나아정,경기도 가평군 상면 행현리 807-5,경기도 가평군 상면 축령로 183-102,12448,호수,카라반,반려동물,3,231034.2948,474517.8922,,,
유명산밸리 캠핑장,경기도 가평군 설악면 가일리 308-18,경기도 가평군 설악면 유명로 626,12473,산,캠핑,가족,3,243512.1736,455653.3473,,,
부항댐 생태휴양펜션,경상북도 김천시 부항면 지좌리 330,경상북도 김천시 부항면 부항댐길 777,39689,강,글램핑,연인,16,288417.1246,275174.4728,,,
오하브글램핑,경기도 가평군 북면 제령리 533-1,경기도 가평군 북면 꽃넘이길 43,12405,바다,이지캠핑,키즈,3,246253.056,488274.652,,,
월성오토캠핑장,경상남도 거창군 북상면 월성리 50-16번지,경상남도 거창군 북상면 덕유월성로 1588-9,50100,산,캠핑,가족,17,268558.0046,251819.1117,,,
세계캠핑체험존,경기도 연천군 전곡읍 전곡리 705-2번지,경기도 연천군 전곡읍 선사로 123,11027,바다,이지캠핑,키즈,3,205435.4656,500534.6513,,,
청계산 골든밸리 가족캠핑장,경기도 성남시 수정구 금토동 112,경기도 성남시 수정구 달래내로221번길 17-5 (금토동),13450,호수,카라반,반려동물,3,206849.5543,434868.4476,,,
마실캠핑장,경기도 파주시 적성면 자장리 105-4,경기도 파주시 적성면 국사로 271,10801,산,캠핑,가족,3,188608.4337,495242.1313,,,
대부도 아라뜰 캠핑장,경기도 안산시 단원구 대부남동 28-110,경기도 안산시 단원구 부흥로 232-21 (대부남동),15649,강,글램핑,연인,3,164435.9604,413253.9544,,,
루파니애견캠핑장,충청북도 괴산군 감물면 구월리 493번지,충청북도 괴산군 감물면 감물로 362-54,28005,바다,이지캠핑,키즈,8,278230.8349,373445.6238,,,
화기애애 단풍 캠핑장,강원도 평창군 봉평면 흥정리 383-7번지,강원도 평창군 봉평면 흥정계곡길 674-38,25300,호수,카라반,반려동물,4,315803.4562,461270.7272,,,
행화촌자연테마파크,경상북도 칠곡군 지천면 백운리 172-3번지,경상북도 칠곡군 지천면 지천로 798-9,39863,산,캠핑,가족,16,333746.6651,278788.8221,,,
이화야영장,경상북도 칠곡군 지천면 황학리 136번지,경상북도 칠곡군 지천면 황학4길 21,39863,강,글램핑,연인,16,334161.1881,283171.7276,,,
열두달캠핑장,경기도 가평군 북면 목동리 542번지,경기도 가평군 북면 멱골로 202-101,12403,바다,이지캠핑,키즈,3,250119.2354,489230.2605,,,
아쿠아베이(주) 글램핑,경상북도 포항시 남구 송도동 253-5,경상북도 포항시 남구 운하로 207 (송도동),37730,호수,카라반,반려동물,16,413821.3025,285046.6927,,,
동강빌리지,강원도 영월군 영월읍 삼옥리 1621-5,"강원도 영월군 영월읍 동강로 223, 동강빌리지",26223,산,캠핑,가족,4,333774.8658,412004.4583,,,
산호야관광농원,경상북도 구미시 옥성면 대원리 447,경상북도 구미시 옥성면 선상서로 797,39102,강,글램핑,연인,16,311661.4271,309419.2976,,,
윤제림오토캠핑장,전라남도 보성군 겸백면 수남리 산 1-1번지,전라남도 보성군 겸백면 주월산길 222,59412,바다,이지캠핑,키즈,11,218579.5384,148012.2198,,,
장성잔디로야영장,전라남도 장성군 삼서면 수양리 666-1,전라남도 장성군 삼서면 수양로 100-32,57256,호수,카라반,반려동물,11,169174.2198,193623.2388,,,
가야산 캠핑장,충청남도 예산군 덕산면 대치리 22-3,충청남도 예산군 덕산면 윤봉길로 489-8,32407,산,캠핑,가족,7,166765.8289,353978.4873,,,
휴랜드관광농원,경기도 포천시 이동면 도평리 509,경기도 포천시 이동면 금강로 6159-7,11110,강,글램핑,연인,3,234036.7287,508553.3049,,,
파인벨리펜션 글램핑,경기도 포천시 화현면 명덕리 193-1,경기도 포천시 화현면 봉화로 315-97,11125,바다,이지캠핑,키즈,3,224058.9518,485864.7256,,,
