사업장명,소재지전체주소,도로명전체주소,도로명우편번호,자연환경,숙소환경,테마,지역코드,좌표정보(x),좌표정보(y),COL1,COL2,COL3
블루비치 관광농원,경상남도 고성군 삼산면 두포리 177,경상남도 고성군 삼산면 두포5길 113-109,52959,산,캠핑,가족,17,318732.4766,159178.926,,,
고성 잔디 캠핑장,경상남도 고성군 하일면 용태리 479번지,경상남도 고성군 하일면 공룡로 1287,52955,강,글램핑,연인,17,310931.4151,162180.2853,,,
남원 백두대간 힐링캠핑장,전라북도 남원시 운봉읍 공안리 산 32-1번지,전라북도 남원시 운봉읍 행정공안길 299,55720,호수,카라반,반려동물,9,249480.5121,211145.0197,,,
잉카마야박물관 캠핑장,경상북도 문경시 가은읍 전곡리 288-2,경상북도 문경시 가은읍 전곡길 13-10,36998,산,캠핑,가족,16,291627.3377,346069.1339,,,
숲속가든캠핑장,경상남도 사천시 사남면 계양리 383-6,경상남도 사천시 사남면 삼상로 820,52536,강,글램핑,연인,17,303430.3054,164913.3791,,,
흥부골자연휴양림,전라북도 남원시 인월면 인월리 산 53-2번지,전라북도 남원시 인월면 구인월길 125 (흥부골자연휴양림),55715,바다,이지캠핑,키즈,9,253462.7153,216803.6264,,,
정선군생태체험학습장 야영장,강원도 정선군 정선읍 광하리 16번지,강원도 정선군 정선읍 동강로 2914,26133,호수,카라반,반려동물,4,343899.3523,429918.4401,,,
마운틴캠핑장,경기도 용인시 처인구 원삼면 죽능리 26-34,경기도 용인시 처인구 원삼면 후평로185번길 50,17170,산,캠핑,가족,3,229125.394,403758.3189,,,
힐포인트,경기도 용인시 수지구 고기동 346-1,경기도 용인시 수지구 동천로 541 (고기동),16800,강,글램핑,연인,3,204621.4029,427712.2746,,,
꽃주렁나무주렁 캠핑장,경기도 용인시 처인구 이동읍 어비리 205,경기도 용인시 처인구 이동읍 경기동로1024번길 40,17139,바다,이지캠핑,키즈,3,218557.3373,401416.859,,,
캠프레이크,경기도 용인시 기흥구 고매동 539-1,경기도 용인시 기흥구 동탄기흥로785번길 21-5 (고매동),17101,호수,카라반,반려동물,3,208804.4361,413961.815,,,
정광산 관광농원,경기도 용인시 처인구 모현읍 초부리 310-14,경기도 용인시 처인구 모현읍 초부로 215-5,17037,산,캠핑,가족,3,223467.9933,423818.3238,,,
소풍캠핑장,경기도 용인시 처인구 이동읍 송전리 218-1,경기도 용인시 처인구 이동읍 경기동로785번길 30,17137,강,글램핑,연인,3,218253.4121,403512.5506,,,
신선계곡야영장,경기도 광주시 퇴촌면 관음리 182,경기도 광주시 퇴촌면 천진암로 768,12713,바다,이지캠핑,키즈,3,230418.6209,438621.6008,,,
더포레스트 연지곤지점,경기도 광주시 곤지암읍 삼리 430,경기도 광주시 곤지암읍 경충대로 729,12805,호수,카라반,반려동물,3,228599.8704,427829.9146,,,
소나무캠핑,충청북도 단양군 가곡면 어의곡리 114-2번지,충청북도 단양군 가곡면 새밭로 794 (소나무집),27023,산,캠핑,가족,8,329473.1674,388475.5267,,,
소풍관광농원,충청북도 단양군 영춘면 의풍리 883번지,충청북도 단양군 영춘면 김삿갓로 126-10,395837,바다,이지캠핑,키즈,8,342846.4324,398417.4574,,,
천동계곡 캠핑장,충청북도 단양군 단양읍 천동리 380-11 그린농원,"충청북도 단양군 단양읍 천동4길 10-8, 그린농원",27024,호수,카라반,반려동물,8,326304.8272,385860.1307,,,
한스빌리지,충청북도 단양군 가곡면 대대리 147번지,충청북도 단양군 가곡면 새밭로 393,27023,산,캠핑,가족,8,326051.509,389758.7494,,,
파인 카라반 캠핑장,충청북도 단양군 가곡면 향산리 503-9,충청북도 단양군 가곡면 남한강로 1038,27022,강,글램핑,연인,8,325894.0525,395967.1105,,,
사나래카라반캠핑,경상북도 포항시 남구 장기면 계원리 443-1,경상북도 포항시 남구 장기면 동해안로 2932,37947,바다,이지캠핑,키즈,16,427979.2586,264891.5236,,,
행복한 소풍 캠핑장,인천광역시 강화군 화도면 내리 1498-1,인천광역시 강화군 화도면 마니산로 902-15,23059,산,캠핑,가족,2,147043.6352,459832.9672,,,
얏호캠핑장,인천광역시 강화군 길상면 동검리 158-6번지,인천광역시 강화군 길상면 동검길 159-27,23053,호수,카라반,반려동물,2,156782.921,454051.5671,,,
석모도 부자캠핑,인천광역시 강화군 삼산면 상리 12-2,인천광역시 강화군 삼산면 상리길281번길 93,23004,산,캠핑,가족,2,138954.5425,471386.3062,,,
낙조힐링캠핑장,인천광역시 강화군 화도면 장화리 511-1,인천광역시 강화군 화도면 해안남로 2425,23061,강,글램핑,연인,2,145330.2307,457726.3716,,,
프랭클리 글램핑,인천광역시 강화군 선원면 선행리 492-5번지,인천광역시 강화군 선원면 시리미로237번길 32,23039,호수,카라반,반려동물,2,151500.0713,469773.019,,,
검디 관광농원 야영장,인천광역시 강화군 길상면 동검리 127-18번지,인천광역시 강화군 길상면 동검길 159-39,23053,산,캠핑,가족,2,156902.0375,454043.675,,,
금산산림문화타운캠핑장,충청남도 금산군 남이면 건천리 산 168번지,충청남도 금산군 남이면 느티골길 200,32751,강,글램핑,연인,7,233594.8956,283247.9776,,,
칠갑산자연휴양림,충청남도 청양군 대치면 광대리 산 69-8,충청남도 청양군 대치면 칠갑산로 668-103,33344,바다,이지캠핑,키즈,7,185892.5552,325550.8961,,,
알프스 휴양림,충청남도 청양군 남양면 흥산리 476-1,충청남도 청양군 남양면 만수로 1202-20,33308,호수,카라반,반려동물,7,177405.6085,318967.2956,,,
문수산캠핑장,경기도 용인시 처인구 이동읍 묵리 202-3,경기도 용인시 처인구 이동읍 이원로 637-3,17132,산,캠핑,가족,3,222449.8801,406739.3527,,,
철이네 캠핑랜드,경기도 용인시 처인구 백암면 용천리 627-15,경기도 용인시 처인구 백암면 용천로 205,17182,강,글램핑,연인,3,231181.8251,402496.4832,,,
용인밤골캠핑장,경기도 용인시 처인구 원삼면 맹리 695-12 외2필지,경기도 용인시 처인구 원삼면 죽양대로1650번길 2-43,17166,바다,이지캠핑,키즈,3,229662.633,409513.9697,,,
대부도캠핑성,경기도 안산시 단원구 대부남동 28-83,경기도 안산시 단원구 부흥로 232-76 (대부남동),15649,호수,카라반,반려동물,3,164099.0208,413135.5936,,,
카라반랜드,경기도 안산시 단원구 대부남동 31-172,경기도 안산시 단원구 수영목길 27-77 (대부남동),15649,산,캠핑,가족,3,164002.1451,412673.9949,,,
해솔길캠핑장,경기도 안산시 단원구 대부북동 1865-209,경기도 안산시 단원구 연목이길 11-1 (대부북동),15640,강,글램핑,연인,3,160931.8346,418493.3168,,,
씨엘관광농원,경기도 안산시 단원구 대부동동 1241-3,경기도 안산시 단원구 대부황금로 974-13 (대부동동),15641,바다,이지캠핑,키즈,3,163784.6296,416586.3654,,,
핀란드캠핑장,경기도 안산시 단원구 대부남동 1172-41,경기도 안산시 단원구 끝망생이길 28-17 (대부남동),15647,호수,카라반,반려동물,3,159567.0442,414332.86,,,
고래숲 관광농원,경기도 안산시 단원구 대부남동 530-4,경기도 안산시 단원구 장불길 14 (대부남동),15653,산,캠핑,가족,3,161020.8576,411033.3842,,,
바다의별 관광농원,경기도 안산시 단원구 대부남동 5-24,경기도 안산시 단원구 부흥로 359-14 (대부남동),15650,바다,이지캠핑,키즈,3,165357.3285,412519.0613,,,
캠프라임,경상남도 양산시 원동면 원리 50-12,경상남도 양산시 원동면 원동로 1837-2,50587,호수,카라반,반려동물,17,374466.0274,211970.5236,,,
자연의꿈,경기도 파주시 법원읍 법원리 133-4,경기도 파주시 법원읍 초리골길 248,10826,산,캠핑,가족,3,190620.5334,483731.9177,,,
강진 청자촌 오토캠핑장,전라남도 강진군 대구면 사당리 658-5 강진청자촌오토캠핑장,"전라남도 강진군 대구면 청자촌길 42-5, 강진청자촌오토캠핑장",59263,강,글램핑,연인,11,181916.9376,112170.1398,,,
시냇가캠핑장,충청북도 괴산군 칠성면 비도리 59-2,충청북도 괴산군 칠성면 연풍로쌍곡길 75,28018,바다,이지캠핑,키즈,8,279150.0783,364921.263,,,
솔밭캠프,충청북도 괴산군 칠성면 쌍곡리 84-10번지,충청북도 괴산군 칠성면 쌍곡로 322,28021,호수,카라반,반려동물,8,279831.5121,362481.3649,,,
갈론계곡캠핑장,충청북도 괴산군 칠성면 사은리 181번지,충청북도 괴산군 칠성면 칠성로10길 466-3,28020,산,캠핑,가족,8,275535.5026,359892.734,,,
괴강관광농원캠핑장,충청북도 괴산군 칠성면 두천리 378-1번지 괴강관광농원,"충청북도 괴산군 칠성면 괴강로 354-14, 괴강관광농원",28017,강,글램핑,연인,8,273457.4242,366771.4472,,,
후평숲캠핑장,충청북도 괴산군 청천면 후평리 200-12번지,충청북도 괴산군 청천면 후평도원로 129-19,28061,바다,이지캠핑,키즈,8,267494.0825,351134.9835,,,
개차반캠핑장,충청북도 괴산군 사리면 소매리 324-3,충청북도 괴산군 사리면 소매1길 102,28045,호수,카라반,반려동물,8,259391.6471,370909.5549,,,
숲속의하모니,충청북도 괴산군 청천면 후평리 200-13번지,충청북도 괴산군 청천면 후평도원로 153-6,28061,산,캠핑,가족,8,267644.5822,351052.2174,,,
동당미펜션 야영장,강원도 횡성군 서원면 압곡리 298-8번지,강원도 횡성군 서원면 압곡로 195,25201,강,글램핑,연인,4,278590.8161,441820.8174,,,
헬로 카라반,인천광역시 강화군 삼산면 매음리 897,인천광역시 강화군 삼산면 어류정길198번길 8,23007,바다,이지캠핑,키즈,2,141369.312,461437.782,,,
강화도 아침 숲속야영장,인천광역시 강화군 길상면 선두리 843-68번지,인천광역시 강화군 길상면 해안남로 860-2,23051,호수,카라반,반려동물,2,153922.3541,457136.3771,,,
